project,street,type,district,segment,tenure,commence,sale,price,area,level,date
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1406790,409.03,21 to 25,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1351350,409.03,21 to 25,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1416690,473.62,21 to 25,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1426590,473.62,21 to 25,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1996830,721.19,21 to 25,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1436490,473.62,21 to 25,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1446390,473.62,21 to 25,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1901790,635.08,21 to 25,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1392930,409.03,26 to 30,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1458270,473.62,26 to 30,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1468170,473.62,26 to 30,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1482030,473.62,26 to 30,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1491930,473.62,26 to 30,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,2074050,721.19,26 to 30,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1955250,635.08,26 to 30,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1513710,473.62,26 to 30,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1991880,635.08,26 to 30,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,3029400,1065.64,26 to 30,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,2122560,635.08,26 to 30,Mar-21
AMBER PARK,AMBER GARDENS,Condominium,15,RCR,freehold,,New Sale,4334400,1797.59,01 to 05,Mar-21
AMBER PARK,AMBER GARDENS,Condominium,15,RCR,freehold,,New Sale,1760000,753.48,11 to 15,Mar-21
AMBER PARK,AMBER GARDENS,Condominium,15,RCR,freehold,,New Sale,1205600,484.38,11 to 15,Mar-21
AMBER PARK,AMBER GARDENS,Condominium,15,RCR,freehold,,New Sale,1783200,753.48,16 to 20,Mar-21
VIEW AT KISMIS,LORONG KISMIS,Apartment,21,RCR,99 years,2019.0,New Sale,2122000,1280.92,01 to 05,Mar-21
MAYFAIR MODERN,RIFLE RANGE ROAD,Condominium,21,RCR,99 years,2018.0,New Sale,1653000,807.3,01 to 05,Mar-21
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,Apartment,19,OCR,99 years,2018.0,New Sale,1379000,850.36,01 to 05,Mar-21
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,Apartment,19,OCR,99 years,2018.0,New Sale,1660112,1151.75,01 to 05,Mar-21
KI RESIDENCES AT BROOKVALE,BROOKVALE DRIVE,Condominium,21,OCR,other,1885.0,New Sale,1570000,861.12,11 to 15,Mar-21
VIEW AT KISMIS,LORONG KISMIS,Apartment,21,RCR,99 years,2019.0,New Sale,1238000,710.42,01 to 05,Mar-21
THE ANTARES,MATTAR ROAD,Apartment,14,RCR,99 years,2018.0,New Sale,1318292,731.95,06 to 10,Mar-21
THE M,MIDDLE ROAD,Apartment,7,CCR,99 years,2019.0,New Sale,1801452,731.95,11 to 15,Mar-21
THE M,MIDDLE ROAD,Apartment,7,CCR,99 years,2019.0,New Sale,1970000,731.95,11 to 15,Mar-21
THE M,MIDDLE ROAD,Apartment,7,CCR,99 years,2019.0,New Sale,2175000,742.72,16 to 20,Mar-21
RV ALTITUDE,RIVER VALLEY ROAD,Apartment,9,CCR,freehold,,New Sale,1583000,570.49,11 to 15,Mar-21
RV ALTITUDE,RIVER VALLEY ROAD,Apartment,9,CCR,freehold,,New Sale,1624000,602.78,11 to 15,Mar-21
RV ALTITUDE,RIVER VALLEY ROAD,Apartment,9,CCR,freehold,,New Sale,1638000,602.78,16 to 20,Mar-21
THE M,MIDDLE ROAD,Apartment,7,CCR,99 years,2019.0,New Sale,1848000,764.24,11 to 15,Mar-21
THE M,MIDDLE ROAD,Apartment,7,CCR,99 years,2019.0,New Sale,1880000,764.24,11 to 15,Mar-21
THE M,MIDDLE ROAD,Apartment,7,CCR,99 years,2019.0,New Sale,1896000,764.24,11 to 15,Mar-21
FORETT AT BUKIT TIMAH,TOH TUCK ROAD,Apartment,21,RCR,freehold,,New Sale,1853000,947.23,01 to 05,Mar-21
THE M,MIDDLE ROAD,Apartment,7,CCR,99 years,2019.0,New Sale,1433000,527.44,11 to 15,Mar-21
THE M,MIDDLE ROAD,Apartment,7,CCR,99 years,2019.0,New Sale,1450000,527.44,16 to 20,Mar-21
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,Apartment,10,CCR,99 years,2018.0,New Sale,2257000,947.23,01 to 05,Mar-21
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 years,2018.0,New Sale,1288000,914.94,06 to 10,Mar-21
NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 years,2019.0,New Sale,1329524,721.19,21 to 25,Mar-21
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 years,2018.0,New Sale,1140000,861.12,01 to 05,Mar-21
NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 years,2019.0,New Sale,1660091,947.23,06 to 10,Mar-21
NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 years,2019.0,New Sale,1169906,645.84,21 to 25,Mar-21
KI RESIDENCES AT BROOKVALE,BROOKVALE DRIVE,Condominium,21,OCR,other,1885.0,New Sale,1348000,742.72,01 to 05,Mar-21
VERDALE,DE SOUZA AVENUE,Apartment,21,RCR,99 years,2018.0,New Sale,1318100,742.72,01 to 05,Mar-21
KOPAR AT NEWTON,MAKEWAY AVENUE,Apartment,9,CCR,99 years,2019.0,New Sale,1172000,516.67,01 to 05,Mar-21
THE GARDEN RESIDENCES,SERANGOON NORTH VIEW,Apartment,19,OCR,99 years,2017.0,New Sale,1882900,1119.46,11 to 15,Mar-21
CLAVON,CLEMENTI AVENUE 1,Apartment,5,OCR,99 years,2019.0,New Sale,1854000,1130.22,26 to 30,Mar-21
THE FLORENCE RESIDENCES,HOUGANG AVENUE 2,Apartment,19,OCR,99 years,2018.0,New Sale,1114000,635.08,16 to 20,Mar-21
PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 years,2019.0,New Sale,1523000,893.41,11 to 15,Mar-21
HYLL ON HOLLAND,HOLLAND ROAD,Condominium,10,CCR,freehold,,New Sale,1760000,721.19,06 to 10,Mar-21
PARC VERA,HOUGANG STREET 32,Condominium,19,OCR,99 years,2010.0,Resale,1130000,1140.98,01 to 05,Mar-21
MIDWOOD,HILLVIEW RISE,Condominium,23,OCR,99 years,2018.0,New Sale,1011000,635.08,01 to 05,Mar-21
CRADELS,LORONG LIMAU,Apartment,12,RCR,freehold,,Resale,673000,441.32,06 to 10,Mar-21
ICON,GOPENG STREET,Apartment,2,CCR,99 years,2002.0,Resale,1040000,656.6,21 to 25,Mar-21
KINGSFORD . HILLVIEW PEAK,HILLVIEW RISE,Condominium,23,OCR,99 years,2012.0,Resale,1050000,828.83,06 to 10,Mar-21
PARC RIVIERA,WEST COAST VALE,Condominium,5,OCR,99 years,2015.0,Resale,700000,462.85,26 to 30,Mar-21
WHISTLER GRAND,WEST COAST VALE,Apartment,5,OCR,99 years,2018.0,New Sale,880800,505.91,31 to 35,Mar-21
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,4,RCR,99 years,2006.0,Resale,2900000,1614.6,01 to 05,Mar-21
CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,Condominium,4,RCR,99 years,2007.0,Resale,2785000,1474.67,06 to 10,Mar-21
COCO PALMS,PASIR RIS GROVE,Condominium,18,OCR,99 years,2008.0,Resale,645000,462.85,11 to 15,Mar-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 years,2018.0,New Sale,1374000,656.6,26 to 30,Mar-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 years,2018.0,New Sale,1378000,656.6,26 to 30,Mar-21
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 years,2018.0,New Sale,2257000,1108.69,31 to 35,Mar-21
TREASURE LOFT,SHREWSBURY ROAD,Apartment,11,CCR,freehold,,Resale,1300000,936.47,01 to 05,Mar-21
THE JOVELL,FLORA DRIVE,Condominium,17,OCR,99 years,2018.0,New Sale,846000,635.08,01 to 05,Mar-21
TOWNHOUSE APARTMENTS,CAVENAGH ROAD,Apartment,9,CCR,99 years,1977.0,Resale,2739000,2906.28,06 to 10,Mar-21
KI RESIDENCES AT BROOKVALE,BROOKVALE DRIVE,Condominium,21,OCR,other,1885.0,New Sale,2367000,1377.79,11 to 15,Mar-21
HAIG COURT,HAIG ROAD,Condominium,15,RCR,freehold,,Resale,2400000,1474.67,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1564200,592.02,01 to 05,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1633500,635.08,01 to 05,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1306800,473.62,01 to 05,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1772100,721.19,01 to 05,Mar-21
KI RESIDENCES AT BROOKVALE,BROOKVALE DRIVE,Condominium,21,OCR,other,1885.0,New Sale,2004000,1173.28,01 to 05,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1569150,592.02,01 to 05,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1638450,635.08,01 to 05,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1777050,721.19,01 to 05,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1648350,635.08,01 to 05,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1786950,721.19,01 to 05,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1192950,409.03,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,2187900,904.18,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1450350,592.02,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1519650,635.08,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1222650,473.62,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,2450250,1065.64,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1717650,721.19,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1199880,409.03,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,2200770,904.18,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1461240,592.02,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1530540,635.08,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1225620,473.62,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,2463120,1065.64,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1728540,721.19,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1210770,409.03,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1478070,592.02,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1547370,635.08,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1230570,473.62,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1745370,721.19,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1217700,409.03,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1488960,592.02,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1558260,635.08,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,2644290,1065.64,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1756260,721.19,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1225620,409.03,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1500840,592.02,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1237500,473.62,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,3738240,1442.38,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1768140,721.19,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1512720,592.02,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1582020,635.08,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1241460,473.62,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1780020,721.19,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1524600,592.02,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1593900,635.08,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1245420,473.62,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1791900,721.19,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1536480,592.02,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1605780,635.08,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1249380,473.62,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1803780,721.19,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1548360,592.02,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1617660,635.08,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1253340,473.62,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1815660,721.19,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1562220,592.02,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1631520,635.08,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1829520,721.19,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1576080,592.02,16 to 20,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1267200,473.62,16 to 20,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1589940,592.02,16 to 20,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,2813580,1065.64,16 to 20,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1878030,721.19,16 to 20,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1891890,721.19,16 to 20,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,2673000,1065.64,16 to 20,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1907730,721.19,16 to 20,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1923570,721.19,21 to 25,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1939410,721.19,21 to 25,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1957230,721.19,21 to 25,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,14830200,3519.83,26 to 30,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,2221560,721.19,26 to 30,Mar-21
VIEW AT KISMIS,LORONG KISMIS,Apartment,21,RCR,99 years,2019.0,New Sale,1244000,699.66,01 to 05,Mar-21
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 years,2018.0,New Sale,1244000,914.94,01 to 05,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1296900,473.62,01 to 05,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1791900,721.19,01 to 05,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1613700,635.08,01 to 05,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1796850,721.19,01 to 05,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1618650,635.08,01 to 05,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1232550,473.62,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1242450,473.62,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1737450,721.19,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1229580,409.03,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1174140,409.03,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1239480,473.62,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1249380,473.62,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1748340,721.19,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1629540,635.08,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1240470,409.03,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1185030,409.03,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1250370,473.62,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1260270,473.62,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1765170,721.19,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1646370,635.08,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1191960,409.03,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1257300,473.62,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1267200,473.62,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1776060,721.19,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1657260,635.08,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1199880,409.03,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1787940,721.19,06 to 10,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1669140,635.08,06 to 10,Mar-21
AMBER PARK,AMBER GARDENS,Condominium,15,RCR,freehold,,New Sale,1638400,678.13,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1681020,635.08,11 to 15,Mar-21
AMBER PARK,AMBER GARDENS,Condominium,15,RCR,freehold,,New Sale,1124000,462.85,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1215720,409.03,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1811700,721.19,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1223640,409.03,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1823580,721.19,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1231560,409.03,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1835460,721.19,11 to 15,Mar-21
AMBER PARK,AMBER GARDENS,Condominium,15,RCR,freehold,,New Sale,2228000,947.23,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1241460,409.03,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1849320,721.19,11 to 15,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1863180,721.19,16 to 20,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1877040,721.19,16 to 20,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1351350,473.62,16 to 20,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1897830,721.19,16 to 20,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1959210,721.19,21 to 25,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,5626170,1808.35,21 to 25,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,1977030,721.19,21 to 25,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,2020590,721.19,21 to 25,Mar-21
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,2046330,721.19,26 to 30,Mar-21
AMBER PARK,AMBER GARDENS,Condominium,15,RCR,freehold,,New Sale,1786860,742.72,01 to 05,Mar-21
THE ANTARES,MATTAR ROAD,Apartment,14,RCR,99 years,2018.0,New Sale,1155092,688.9,01 to 05,Mar-21
KANDIS RESIDENCE,KANDIS LINK,Condominium,27,OCR,99 years,2016.0,New Sale,1032600,807.3,01 to 05,Mar-21
UPTOWN @ FARRER,PERUMAL ROAD,Apartment,8,RCR,99 years,2017.0,New Sale,1468000,828.83,11 to 15,Mar-21
